number,content,section,Punktzahl,1.0-fach,2.3-fach,3.5-fach,reference,parsed_references,rule
4138,"Verwendung einer Membran zur
Behandlung eines Knochendefek -
tes einschließlich Fixierung, je Zahn,
je Implantat",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,220.0,12.37,28.46,43.31,The text doesn't mention any references to other paragraphs.,,
4150,"Kontrolle/Nachbehandlung nach
parodontalchirurgischen Maßnah -
men, je Zahn, Implantat oder Pa -
rodontium",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,7.0,0.39,0.91,1.38,The text does not mention any references to other paragraphs.,,
5000,"Versorgung eines Lückengebisses
durch eine Brücke oder Prothese:
je Pfeilerzahn oder Implantat als
Brücken- oder Prothesenanker
mit einer Vollkrone (Tangential -
präparation)",F_Prothetische_Leistungen,1016.0,57.14,131.43,200.0,The text does not mention any references to other paragraphs.,,
5010,"Versorgung eines Lückengebisses
durch eine Brücke oder Prothese:
je Pfeilerzahn als Brücken- oder
Prothesenanker mit einer Voll -
krone (Hohlkehl- und Stufenprä -
paration) oder Einlagefüllung",F_Prothetische_Leistungen,1483.0,83.41,191.84,291.92,The text does not mention any references to other paragraphs.,,
5020,"Versorgung eines Lückengebisses
durch eine Brücke oder Prothese:
je Pfeilerzahn als Brücken- oder
Prothesenanker mit einer Teil -
krone mit Retentionsrillen oder
-kasten oder mit Pinledges ein -
schließlich Rekonstruktion der
Kaufläche",F_Prothetische_Leistungen,1997.0,112.32,258.33,393.1,The text does not mention any references to other paragraphs.,,
5030,"Versorgung eines Lückengebisses
durch eine Brücke oder Prothese:
je Pfeilerzahn oder Implantat als
Brücken- oder Prothesenanker mit
einer Wurzelkappe mit Stift, gege -
benenfalls zur Aufnahme einer
Verbindungsvorrichtung oder an -
derer Verbindungselemente",F_Prothetische_Leistungen,1483.0,83.41,191.84,291.92,The text does not mention any references to other paragraphs.,,
5040,"Versorgung eines Lückengebisses
durch eine Brücke oder Prothese: je
Pfeilerzahn oder Implantat als Brü -
cken- oder Prothesenanker mit einer
Teleskopkrone, auch Konuskrone
Die Leistung nach der Nummer 5040 ist neben der Leistung nach
der Nummer 5080 nicht berech -
nungsfähig.
Durch die Leistungen nach den
Nummern 5000 bis 5040 sind
folgende zahnärztliche Leistungen
abgegolten: Präparieren des Zah -
nes oder Implantats, Relationsbe -
stimmung, Abformungen, Einpro-
ben, provisorisches Eingliedern ,
festes Einfügen der Krone, der Einla -
gefüllung, der Teilkrone o.a., Nach -
kontrolle und Korrekturen.
Die Leistungen nach den Nummern 5000 und 5030 umfassen auch die
Verschraubung und Abdeckung
mit Füllungsmaterial. Zu den Leistun -
gen nach den Nummern 5000 bis 5040 gehören Brücken- oder Pro -
thesenanker mit Verbindungsele -
menten jeder Ausführung.
Die Leistungen nach den Nummern 5010 und 5020 sind im Zusammen -
hang mit Implantaten nicht berech -
nungsfähig. Zu den Kronen nach
den Nummern 5000 bis 5040 gehö -
ren Kronen (Voll-, Teil- und Teleskop -
kronen, sowie Wurzelstiftkappen)
jeder zahntechnischen Ausführung.",F_Prothetische_Leistungen,2605.0,146.51,336.97,512.79,"References: Nummer 5040, Nummer 5080, Nummern 5000 bis 5040, Nummern 5000 und 5030, Nummern 5010 und 5020, Nummern 5000 bis 5040.",,Die Leistung nach der Nummer 5040 ist neben der Leistung nach der Nummer 5080 nicht berechnungsfähig.
5040,"Versorgung eines Lückengebisses
durch eine Brücke oder Prothese: je
Pfeilerzahn oder Implantat als Brü -
cken- oder Prothesenanker mit einer
Teleskopkrone, auch Konuskrone
Die Leistung nach der Nummer 5040 ist neben der Leistung nach
der Nummer 5080 nicht berech -
nungsfähig.
Durch die Leistungen nach den
Nummern 5000 bis 5040 sind
folgende zahnärztliche Leistungen
abgegolten: Präparieren des Zah -
nes oder Implantats, Relationsbe -
stimmung, Abformungen, Einpro-
ben, provisorisches Eingliedern ,
festes Einfügen der Krone, der Einla -
gefüllung, der Teilkrone o.a., Nach -
kontrolle und Korrekturen.
Die Leistungen nach den Nummern 5000 und 5030 umfassen auch die
Verschraubung und Abdeckung
mit Füllungsmaterial. Zu den Leistun -
gen nach den Nummern 5000 bis 5040 gehören Brücken- oder Pro -
thesenanker mit Verbindungsele -
menten jeder Ausführung.
Die Leistungen nach den Nummern 5010 und 5020 sind im Zusammen -
hang mit Implantaten nicht berech -
nungsfähig. Zu den Kronen nach
den Nummern 5000 bis 5040 gehö -
ren Kronen (Voll-, Teil- und Teleskop -
kronen, sowie Wurzelstiftkappen)
jeder zahntechnischen Ausführung.",F_Prothetische_Leistungen,2605.0,146.51,336.97,512.79,"References: Nummer 5040, Nummer 5080, Nummern 5000 bis 5040, Nummern 5000 und 5030, Nummern 5010 und 5020, Nummern 5000 bis 5040.",,Die Leistungen nach den Nummern 5010 und 5020 sind im Zusammenhang mit Implantaten nicht berechnungsfähig.
5050,"Enden die Leistungen mit der
Präparation der Brückenpfeiler
oder Prothesenanker mit Verbin -
dungselementen oder der Ab -
drucknahme beim Implantat, so ist
die Hälfte der jeweiligen Gebühr
berechnungsfähig.",F_Prothetische_Leistungen,,,,,The text does not mention any references to other paragraphs.,,"Enden die Leistungen mit der Präparation der Brückenpfeiler oder Prothesenanker mit Verbindungselementen oder der Abdrucknahme beim Implantat, so ist die Hälfte der jeweiligen Gebühr berechnungsfähig."
5060,"Sind darüber hinaus weitere Maß -
nahmen erfolgt, so sind drei Viertel
der jeweiligen Gebühr berech -
nungsfähig.
Die Leistungen nach den Nummern 5050 oder 5060 sind nur berech -
nungsfähig, wenn es dem Zahnarzt
objektiv auf Dauer unmöglich war,
die Behandlung fortzusetzen, oder
eine Fortsetzung aus medizini -
schen Gründen nicht indiziert war .",F_Prothetische_Leistungen,,,,,"References: Nummern 5050, 5060",,"Die Leistungen nach den Nummern 5050 oder 5060 sind nur berechnungsfähig, wenn es dem Zahnarzt objektiv auf Dauer unmöglich war, die Behandlung fortzusetzen, oder eine Fortsetzung aus medizinischen Gründen nicht indiziert war."
5070,"Versorgung eines Lückengebisses
durch eine Brücke oder Prothese:
Verbindung von Kronen oder Ein -
lagefüllungen durch Brückenglie -
der, Prothesenspannen oder Stege,
je zu überbrückende Spanne oder
Freiendsattel",F_Prothetische_Leistungen,400.0,22.5,51.74,78.74,The text does not mention any references to other paragraphs.,,
5080,"Versorgung eines Lückengebisses
durch eine zusammengesetzte Brü -
cke oder Prothese, je Verbindungs -
element
Matrize und Patrize gelten als ein
Verbindungselement.
Die Leistung nach der Nummer 5080 ist neben der Leistung nach
der Nummer 5040 nicht berech -
nungsfähig.",F_Prothetische_Leistungen,230.0,12.94,29.75,45.27,"References: Nummer 5080, Nummer 5040",,Die Leistung nach der Nummer 5080 ist neben der Leistung nach der Nummer 5040 nicht berechnungsfähig.
5090,"Wiederherstellung der Funktion
eines Verbindungselements nach
der Nummer 5080",F_Prothetische_Leistungen,110.0,6.19,14.23,21.65,References: Nummer 5080,,
5100,"Erneuern des Sekundärteils einer
Teleskopkrone einschließlich Abfor -
mung",F_Prothetische_Leistungen,450.0,25.31,58.21,88.58,The text provided does not contain any references to other paragraphs.,,
5110,"Wiedereingliederung einer end -
gültigen Brücke nach Wiederher -
stellung der Funktion",F_Prothetische_Leistungen,360.0,20.25,46.57,70.87,The text provided does not contain any references to other paragraphs.,,
5120,"Provisorische Brücke im direkten
Verfahren mit Abformung, je Zahn
oder Implantat, einschließlich Ent -
fernung",F_Prothetische_Leistungen,240.0,13.5,31.05,47.24,The text does not mention any references to other paragraphs.,,
5140,"Provisorische Brücke im direkten
Verfahren mit Abformung, je Brü -
ckenspanne oder Freiendsattel,
einschließlich Entfernung
Das Wiedereingliedern derselben
provisorischen Brücke, gegebe -
nenfalls auch mehrmals, ein -
schließlich Entfernung ist mit den
Gebühren nach den Nummern 5120 bis 5140 abgegolten.",F_Prothetische_Leistungen,80.0,4.5,10.35,15.75,References: Nummern 5120 bis 5140,,"The reinsertion of the same provisional bridge, if necessary several times, including removal, is covered by the fees according to the numbers 5120 to 5140."
5150,"Versorgung eines Lückengebisses
mit Hilfe einer durch Adhäsivtech -
nik befestigten Brücke, für die erste
zu überbrückende Spanne",F_Prothetische_Leistungen,730.0,41.06,94.43,143.7,The text does not mention any references to other paragraphs.,,
5160,"Versorgung eines Lückengebisses
nach der Nummer 5150, für jede
weitere zu überbrückende Spanne",F_Prothetische_Leistungen,360.0,20.25,46.57,70.87,References: Nummer 5150,,
5170,"Anatomische Abformung des Kie -
fers mit individuellem Löffel bei
ungünstigen Zahnbogen- und
Kieferformen und/oder tief anset -
zenden Bändern oder spezielle Ab -
formung zur Remontage, je Kiefer",F_Prothetische_Leistungen,250.0,14.06,32.34,49.21,The text does not mention any references to other paragraphs.,,
5180,"Funktionelle Abformung des Ober -
kiefers mit individuellem Löffel",F_Prothetische_Leistungen,450.0,25.31,58.21,88.58,The text provided does not contain any references to other paragraphs.,,
5190,"Funktionelle Abformung des Unter -
kiefers mit individuellem Löffel",F_Prothetische_Leistungen,540.0,30.37,69.85,106.3,The text provided does not contain any references to other paragraphs.,,
5200,"Versorgung eines teilbezahnten
Kiefers durch eine Teilprothese mit
einfachen, gebogenen Haftele -
menten einschließlich Einschleifen
der Auflagen",F_Prothetische_Leistungen,700.0,39.37,90.55,137.79,The text does not mention any references to other paragraphs.,,
5210,"Versorgung eines teilbezahnten
Kiefers durch eine Modellgusspro -
these mit gegossenen Halte- und
Stützelementen einschließlich Ein -
schleifen der Auflagen",F_Prothetische_Leistungen,1400.0,78.74,181.1,275.59,The text does not mention any references to other paragraphs.,,
5220,"Versorgung eines zahnlosen Kiefers
durch eine totale Prothese oder
Deckprothese bei Verwendung
einer Kunststoff- oder Metallbasis,
im Oberkiefer
Eine Deckprothese setzt eine Basis -
gestaltung wie bei einer totalen
Prothese voraus.",F_Prothetische_Leistungen,1850.0,104.05,239.31,364.17,The text does not mention any references to other paragraphs.,,
5230,"Versorgung eines zahnlosen Kiefers
durch eine totale Prothese oder
Deckprothese bei Verwendung
einer Kunststoff- oder Metallbasis,
im Unterkiefer
Eine Deckprothese setzt eine Basis -
gestaltung wie bei einer totalen
Prothese voraus.
Durch die Leistungen nach den
Nummern 5200 bis 5230 sind fol -
gende Leistungen abgegolten:
Anatomische Abformungen (auch
des Gegenkiefers), Bestimmung
der Kieferrelation, Einproben, Ein -
passen bzw. Einfügen, Nachkon -
trolle und Korrekturen.",F_Prothetische_Leistungen,2200.0,123.73,284.59,433.06,References: Nummern 5200 bis 5230,,"Durch die Leistungen nach den Nummern 5200 bis 5230 sind folgende Leistungen abgegolten: Anatomische Abformungen (auch des Gegenkiefers), Bestimmung der Kieferrelation, Einproben, Einpassen bzw. Einfügen, Nachkontrolle und Korrekturen."
5250,"Maßnahmen zur Wiederherstel -
lung der Funktion oder zur Erweite -
rung einer abnehmbaren Prothese
(ohne Abformung)",F_Prothetische_Leistungen,140.0,7.87,18.11,27.56,The text does not mention any references to other paragraphs.,,
5260,"Maßnahmen zur Wiederherstel -
lung der Funktion oder zur Erweite -
rung einer abnehmbaren Prothese
(mit Abformung) einschließlich
Halte- und Stützvorrichtungen",F_Prothetische_Leistungen,270.0,15.19,34.93,53.15,The text does not mention any references to other paragraphs.,,
5270,Teilunterfütterung einer Prothese,F_Prothetische_Leistungen,180.0,10.12,23.28,35.43,The text provided does not contain any references to other paragraphs.,,
5280,"Vollständige Unterfütterung einer
Prothese",F_Prothetische_Leistungen,270.0,15.19,34.93,53.15,The text provided does not contain any references to other paragraphs.,,
5290,"Vollständige Unterfütterung einer
Prothese einschließlich funktionel -
ler Randgestaltung, im Oberkiefer",F_Prothetische_Leistungen,450.0,25.31,58.21,88.58,The text provided does not mention any references to other paragraphs.,,
5300,"Vollständige Unterfütterung einer
Prothese einschließlich funktionel -
ler Randgestaltung, im Unterkiefer",F_Prothetische_Leistungen,540.0,30.37,69.85,106.3,The text provided does not mention any references to other paragraphs.,,
5310,"Vollständige Unterfütterung bei
einer Defektprothese einschließlich
funktioneller Randgestaltung
Im Zusammenhang mit Leistungen
nach den Nummern 5270 bis 5310
dürfen Leistungen nach den Num -
mern 5250 und 5260 nur berech -
net werden, wenn es sich um
zeitlich getrennte Verrichtungen
handelt. Leistungen nach den
Nummern 5270 bis 5310 sind nur
als Maßnahmen zur Wiederherstel -
lung der Funktion einer abnehm -
baren Prothese berechnungs-
fähig.",F_Prothetische_Leistungen,730.0,41.06,94.43,143.7,"References: Nummern 5270 bis 5310, Nummern 5250 und 5260, Nummern 5270 bis 5310",,"Im Zusammenhang mit Leistungen nach den Nummern 5270 bis 5310 dürfen Leistungen nach den Nummern 5250 und 5260 nur berechnet werden, wenn es sich um zeitlich getrennte Verrichtungen handelt."
5310,"Vollständige Unterfütterung bei
einer Defektprothese einschließlich
funktioneller Randgestaltung
Im Zusammenhang mit Leistungen
nach den Nummern 5270 bis 5310
dürfen Leistungen nach den Num -
mern 5250 und 5260 nur berech -
net werden, wenn es sich um
zeitlich getrennte Verrichtungen
handelt. Leistungen nach den
Nummern 5270 bis 5310 sind nur
als Maßnahmen zur Wiederherstel -
lung der Funktion einer abnehm -
baren Prothese berechnungs-
fähig.",F_Prothetische_Leistungen,730.0,41.06,94.43,143.7,"References: Nummern 5270 bis 5310, Nummern 5250 und 5260, Nummern 5270 bis 5310",,Leistungen nach den Nummern 5270 bis 5310 sind nur als Maßnahmen zur Wiederherstellung der Funktion einer abnehmbaren Prothese berechnungsfähig.
5320,"Eingliederung eines Obturators
zum Verschluss von Defekten des
Gaumens",F_Prothetische_Leistungen,2200.0,123.73,284.59,433.06,The text provided does not contain any references to other paragraphs.,,
5330,"Eingliederung einer Resektionspro -
these zum Verschluss und zum Aus -
gleich von Defekten der Kiefer",F_Prothetische_Leistungen,2800.0,157.48,362.2,551.17,The text provided does not contain any references to other paragraphs.,,
5340,"Eingliederung einer Prothese oder
Epithese zum Verschluss extraora -
ler Weichteildefekte oder zum
Ersatz fehlender Gesichtsteile ein -
schließlich Stütz-, Halte- oder Hilfs -
vorrichtungen
Maßnahmen zur Weichteilstützung
sind mit den Leistungen nach den
Nummern 5200 bis 5340 abgegolten.",F_Prothetische_Leistungen,7300.0,410.57,944.3,1436.99,References: Nummern 5200 bis 5340,,Maßnahmen zur Weichteilstützung sind mit den Leistungen nach den Nummern 5200 bis 5340 abgegolten.
6000,"Profil- oder Enfacefotografie ein -
schließlich kieferorthopädischer
Auswertung
Eine mehr als viermalige Berech -
nung der Leistung nach der Num -
mer 6000 im Verlauf einer
kieferorthopädischen Behandlung
ist in der Rechnung zu begründen.",G_Kieferorthopädische_Leistungen,80.0,4.5,10.35,15.75,The text does not mention any references to other paragraphs.,,"Eine mehr als viermalige Berech -
nung der Leistung nach der Num -
mer 6000 im Verlauf einer
kieferorthopädischen Behandlung
ist in der Rechnung zu begründen."
6010,"Anwendung von Methoden zur
Analyse von Kiefermodellen (drei -
dimensionale, graphische oder
metrische Analysen, Diagramme),
je Leistung nach der Nummer 0060",G_Kieferorthopädische_Leistungen,180.0,10.12,23.28,35.43,References: Nummer 0060,,
6020,"Anwendung von Methoden zur
Untersuchung des Gesichtsschä -
dels (zeichnerische Auswertung
von Röntgenaufnahmen des Schä -
dels, Wachstumsanalysen)",G_Kieferorthopädische_Leistungen,360.0,20.25,46.57,70.87,The text does not mention any references to other paragraphs.,,
6030,"Maßnahmen zur Umformung eines
Kiefers einschließlich Retention,
geringer Umfang",G_Kieferorthopädische_Leistungen,1350.0,75.93,174.63,265.74,The text provided does not contain any references to other paragraphs.,,
6040,"Maßnahmen zur Umformung eines
Kiefers einschließlich Retention,
mittlerer Umfang",G_Kieferorthopädische_Leistungen,2100.0,118.11,271.65,413.38,The text provided does not contain any references to other paragraphs.,,
6050,"Maßnahmen zur Umformung eines
Kiefers einschließlich Retention,
hoher Umfang
Bei Maßnahmen von mittlerem
Umfang nach der Nummer 6040
müssen mindestens drei, bei Maß -
nahmen von hohem Umfang min -
destens vier der Kriterien nach den
Buchstaben a) bis e) erfüllt sein:
a) Zahl der bewegten Zahngrup -
pen: zwei und mehr Zahngruppen,
b) Ausmaß der Zahnbewegung:
mehr als 2 Millimeter,
c) Art der Zahnbewegung: körper -
lich mehr als 2 Millimeter, kontrol -
lierte Wurzelbewegung, direkte
Veränderung der Bisshöhe, Zahn -
drehung mehr als 30 Grad,
d) Richtung der Zahnbewegung:
entgegen Wanderungstendenz,
e) Verankerung: mit zusätzlichen
intra- oder extraoralen Maßnah -
men.",G_Kieferorthopädische_Leistungen,3600.0,202.47,465.68,708.65,The text does not contain any references to other paragraphs.,,
6060,"Maßnahmen zur Einstellung der
Kiefer in den Regelbiss während
der Wachstumsphase einschließ -
lich Retention, geringer Umfang",G_Kieferorthopädische_Leistungen,1800.0,101.24,232.84,354.33,The text does not mention any references to other paragraphs.,,
6070,"Maßnahmen zur Einstellung der
Kiefer in den Regelbiss während
der Wachstumsphase einschließ -
lich Retention, mittlerer Umfang",G_Kieferorthopädische_Leistungen,2600.0,146.23,336.33,511.8,The text does not mention any references to other paragraphs.,,
6080,"Maßnahmen zur Einstellung der
Kiefer in den Regelbiss während
der Wachstumsphase einschließ -
lich Retention, hoher Umfang
Bei Maßnahmen von mittlerem
Umfang muss mindestens ein Krite -
rium nach den Buchstaben a) bis
c), bei Maßnahmen von hohem
Umfang müssen mindestens zwei
der Kriterien erfüllt sein:
a) Ausmaß der Bissverschiebung:
mehr als 4 Millimeter,
b) Richtung der durchzuführenden
Bissverschiebung, Unterkiefer rela -
tiv zum Oberkiefer: dorsal,
c) Skelettale Bedingungen: ungüns -
tige Wachstumsvoraussetzungen.
Die Leistungen nach den Num -
mern 6030 bis 6080 umfassen alle
im Behandlungsplan festgelegten
Maßnahmen innerhalb eines Zeit -
raumes von bis zu vier Jahren.
Die Maßnahmen im Sinne der
Nummern 6030 bis 6080 umfassen
alle Leistungen zur Kieferumfor -
mung und Retention bzw. zur Ein -
stellung des Unterkiefers in den
Regelbiss innerhalb eines Zeitrau -
mes von bis zu vier Jahren, unab -
hängig von den angewandten
Behandlungsmethoden oder den
verwendeten Therapiegeräten.
Neben den Leistungen nach den
Nummern 6030 bis 6080 sind Leis -
tungen nach den Nummern 6190
bis 6260 nicht berechnungsfähig.",G_Kieferorthopädische_Leistungen,3600.0,202.47,465.68,708.65,"References: Nummern 6030 bis 6080, Nummern 6190 bis 6260",,Die Leistungen nach den Nummern 6030 bis 6080 umfassen alle im Behandlungsplan festgelegten Maßnahmen innerhalb eines Zeitraumes von bis zu vier Jahren.
6080,"Maßnahmen zur Einstellung der
Kiefer in den Regelbiss während
der Wachstumsphase einschließ -
lich Retention, hoher Umfang
Bei Maßnahmen von mittlerem
Umfang muss mindestens ein Krite -
rium nach den Buchstaben a) bis
c), bei Maßnahmen von hohem
Umfang müssen mindestens zwei
der Kriterien erfüllt sein:
a) Ausmaß der Bissverschiebung:
mehr als 4 Millimeter,
b) Richtung der durchzuführenden
Bissverschiebung, Unterkiefer rela -
tiv zum Oberkiefer: dorsal,
c) Skelettale Bedingungen: ungüns -
tige Wachstumsvoraussetzungen.
Die Leistungen nach den Num -
mern 6030 bis 6080 umfassen alle
im Behandlungsplan festgelegten
Maßnahmen innerhalb eines Zeit -
raumes von bis zu vier Jahren.
Die Maßnahmen im Sinne der
Nummern 6030 bis 6080 umfassen
alle Leistungen zur Kieferumfor -
mung und Retention bzw. zur Ein -
stellung des Unterkiefers in den
Regelbiss innerhalb eines Zeitrau -
mes von bis zu vier Jahren, unab -
hängig von den angewandten
Behandlungsmethoden oder den
verwendeten Therapiegeräten.
Neben den Leistungen nach den
Nummern 6030 bis 6080 sind Leis -
tungen nach den Nummern 6190
bis 6260 nicht berechnungsfähig.",G_Kieferorthopädische_Leistungen,3600.0,202.47,465.68,708.65,"References: Nummern 6030 bis 6080, Nummern 6190 bis 6260",,"Die Maßnahmen im Sinne der Nummern 6030 bis 6080 umfassen alle Leistungen zur Kieferumformung und Retention bzw. zur Einstellung des Unterkiefers in den Regelbiss innerhalb eines Zeitraumes von bis zu vier Jahren, unabhängig von den angewandten Behandlungsmethoden oder den verwendeten Therapiegeräten."
6080,"Maßnahmen zur Einstellung der
Kiefer in den Regelbiss während
der Wachstumsphase einschließ -
lich Retention, hoher Umfang
Bei Maßnahmen von mittlerem
Umfang muss mindestens ein Krite -
rium nach den Buchstaben a) bis
c), bei Maßnahmen von hohem
Umfang müssen mindestens zwei
der Kriterien erfüllt sein:
a) Ausmaß der Bissverschiebung:
mehr als 4 Millimeter,
b) Richtung der durchzuführenden
Bissverschiebung, Unterkiefer rela -
tiv zum Oberkiefer: dorsal,
c) Skelettale Bedingungen: ungüns -
tige Wachstumsvoraussetzungen.
Die Leistungen nach den Num -
mern 6030 bis 6080 umfassen alle
im Behandlungsplan festgelegten
Maßnahmen innerhalb eines Zeit -
raumes von bis zu vier Jahren.
Die Maßnahmen im Sinne der
Nummern 6030 bis 6080 umfassen
alle Leistungen zur Kieferumfor -
mung und Retention bzw. zur Ein -
stellung des Unterkiefers in den
Regelbiss innerhalb eines Zeitrau -
mes von bis zu vier Jahren, unab -
hängig von den angewandten
Behandlungsmethoden oder den
verwendeten Therapiegeräten.
Neben den Leistungen nach den
Nummern 6030 bis 6080 sind Leis -
tungen nach den Nummern 6190
bis 6260 nicht berechnungsfähig.",G_Kieferorthopädische_Leistungen,3600.0,202.47,465.68,708.65,"References: Nummern 6030 bis 6080, Nummern 6190 bis 6260",,Neben den Leistungen nach den Nummern 6030 bis 6080 sind Leistungen nach den Nummern 6190 bis 6260 nicht berechnungsfähig.
6090,"Maßnahmen zur Einstellung der
Okklusion durch alveolären Aus -
gleich bei abgeschlossener
Wachstumsphase einschließlich
Retention, je Kiefer",G_Kieferorthopädische_Leistungen,700.0,39.37,90.55,137.79,The text does not mention any references to other paragraphs.,,
6100,"Eingliederung eines Klebebrackets
zur Aufnahme orthodontischer
Hilfsmittel",G_Kieferorthopädische_Leistungen,165.0,9.28,21.34,32.48,The text provided does not contain any references to other paragraphs.,,
6110,"Entfernung eines Klebebrackets
einschließlich Polieren und gegebe -
nenfalls Versiegelung des Zahnes",G_Kieferorthopädische_Leistungen,70.0,3.94,9.05,13.78,The text provided does not mention any references to other paragraphs.,,
6120,"Eingliederung eines Bandes zur
Aufnahme orthodontischer Hilfs -
mittel",G_Kieferorthopädische_Leistungen,230.0,12.94,29.75,45.27,The text provided does not contain any references to other paragraphs.,,
6130,"Entfernung eines Bandes ein -
schließlich Polieren und gegebe -
nenfalls Versiegelung des Zahnes",G_Kieferorthopädische_Leistungen,20.0,1.12,2.59,3.94,The text does not mention any references to other paragraphs.,,
6140,Eingliederung eines Teilbogens,G_Kieferorthopädische_Leistungen,210.0,11.81,27.16,41.34,The text provided does not contain any references to other paragraphs.,,
6150,"Eingliederung eines ungeteilten
Bogens, alle Zahngruppen umfas -
send, je Kiefer",G_Kieferorthopädische_Leistungen,500.0,28.12,64.68,98.42,The text provided does not contain any references to other paragraphs.,,
6160,"Eingliederung einer intra-/extrao -
ralen Verankerung (z.B. Head -
gear).",G_Kieferorthopädische_Leistungen,370.0,20.81,47.86,72.83,The text does not mention any references to other paragraphs.,,
6170,"Eingliederung einer Kopf-Kinn-
Kappe.
Die Kosten für die eingegliederten
Hilfsmittel nach den Nummern 6160 und 6170 sind gesondert be -
rechnungsfähig",G_Kieferorthopädische_Leistungen,500.0,28.12,64.68,98.42,"References: Nummern 6160, 6170",,The costs for the integrated aids according to numbers 6160 and 6170 can be invoiced separately.
6180,"Maßnahmen zur Wiederherstellung
der Funktionsfähigkeit und/oder Er -
weiterung von herausnehmbaren
Behandlungsgeräten einschließlich
Abformung und Wiedereinfügen, je
Kiefer und je Sitzung einmal berech -
nungsfähig",G_Kieferorthopädische_Leistungen,270.0,15.19,34.93,53.15,The text does not mention any references to other paragraphs.,,Je Kiefer und je Sitzung einmal berechnungsfähig
6190,"Beratendes und belehrendes
Gespräch mit Anweisungen zur
Beseitigung von schädlichen Ge -
wohnheiten und Dysfunktionen
Neben der Leistung nach der
Nummer 6190 ist die Leistung nach
der Nummer 0010 in derselben Sit -
zung nicht berechnungsfähig.",G_Kieferorthopädische_Leistungen,140.0,7.87,18.11,27.56,"References: Nummer 6190, Nummer 0010",,Neben der Leistung nach der Nummer 6190 ist die Leistung nach der Nummer 0010 in derselben Sitzung nicht berechnungsfähig.
6200,"Eingliedern von Hilfsmitteln zur Be -
seitigung von Funktionsstörungen
(z.B. Mundvorhofplatte) einschließ -
lich Anweisung zum Gebrauch und
Kontrollen",G_Kieferorthopädische_Leistungen,450.0,25.31,58.21,88.58,The text does not mention any references to other paragraphs.,,
6210,"Kontrolle des Behandlungsverlaufs
oder Weiterführung der Retention
einschließlich kleiner Änderungen
der Behandlungs- oder Retentions -
geräte, Therapiekontrolle der ge -
steuerten Extraktion, je Sitzung",G_Kieferorthopädische_Leistungen,90.0,5.06,11.64,17.72,The text does not mention any references to other paragraphs.,,
6220,"Vorbereitende Maßnahmen zur
Herstellung von kieferorthopädi -
schen Behandlungsmitteln (z.B.
Abformung, Bissnahme), je Kiefer",G_Kieferorthopädische_Leistungen,180.0,10.12,23.28,35.43,The text does not mention any references to other paragraphs.,,
6230,"Eingliederung von kieferorthopädi -
schen Behandlungsmitteln, je Kiefer",G_Kieferorthopädische_Leistungen,180.0,10.12,23.28,35.43,The text provided does not mention any references to other paragraphs.,,
6240,"Maßnahmen zur Verhütung von
Folgen vorzeitigen Zahnverlustes
(Offenhalten einer Lücke)",G_Kieferorthopädische_Leistungen,270.0,15.19,34.93,53.15,The text provided does not contain any references to other paragraphs.,,
6250,"Beseitigung des Diastemas, als
selbstständige Leistung",G_Kieferorthopädische_Leistungen,450.0,25.31,58.21,88.58,The text provided does not contain any references to other paragraphs.,,
6260,"Maßnahmen zur Einordnung eines
verlagerten Zahnes in den Zahn -
bogen, als selbstständige Leistung",G_Kieferorthopädische_Leistungen,1100.0,61.87,142.29,216.53,The text does not mention any references to other paragraphs.,,
7000,"Eingliederung eines Aufbissbehelfs
ohne adjustierte Oberfläche",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,270.0,15.19,34.93,53.15,The text provided does not contain any references to other paragraphs.,,
7010,"Eingliederung eines Aufbissbehelfs
mit adjustierter Oberfläche",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,800.0,44.99,103.49,157.48,The text provided does not contain any references to other paragraphs.,,
7020,"Umarbeitung einer vorhandenen
Prothese zum Aufbissbehelf",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,450.0,25.31,58.21,88.58,The text provided does not contain any references to other paragraphs.,,
7030,"Wiederherstellung der Funktion
eines Aufbissbehelfs, z.B. durch Un -
terfütterung",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,370.0,20.81,47.86,72.83,The text does not mention any references to other paragraphs.,,
7040,Kontrolle eines Aufbissbehelfs,H_Eingliederung_von_Aufbissbehelfen_und_Schienen,65.0,3.66,8.41,12.8,The text provided does not contain any references to other paragraphs.,,
7050,"Kontrolle eines Aufbissbehelfs mit
adjustierter Oberfläche: subtrak -
tive Maßnahmen, je Sitzung",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,180.0,10.12,23.28,35.43,The text does not mention any references to other paragraphs.,,
7060,"Kontrolle eines Aufbissbehelfs mit
adjustierter Oberfläche: additive
Maßnahmen, je Sitzung",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,410.0,23.06,53.04,80.71,The text does not mention any references to other paragraphs.,,
7070,"Semipermanente Schiene unter
Anwendung der Ätztechnik, je In -
terdentalraum",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,90.0,5.06,11.64,17.72,The text does not mention any references to other paragraphs.,,
